,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,0.3823796308130423,1.1405825937434804,0.4067879641808755,0.8792052795904288,0.9600437072723571,None
16,2.3117552316875845e-10,3.433938613531876e-10,6.896705428971472e-13,3.808038432596857e-13,0.07489190774788672,None
32,4.3810609947048106e-05,4.3283079266049235e-05,6.061156289494107e-06,3.989224764121087e-06,0.028106654569285423,CEM
64,0.035811516318614255,0.044860402242179576,0.008757875921506387,0.0044545730191662145,0.1046899437953726,None
128,0.615600592171911,0.4031213914793898,0.31936492083413565,0.17402876947577745,0.0653566094145717,None
