,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,0.046561085018173375,0.05430813169221293,0.062373882549271877,0.051271668036097014,0.5333406241660567,None
16,0.008804931297812003,0.006953906694586518,0.014907067053255807,0.014191828230441532,0.26742696768555885,None
32,0.02142417573429054,0.011916961459558888,0.012521696671790794,0.01357374141519273,0.15682051384300327,None
64,0.04052147340511838,0.02467505875144761,0.029190173398459796,0.01208267695899147,0.2377307598423396,None
128,0.06821875926678975,0.022069709348209142,0.05831534958547045,0.03207042077768918,0.45649889411061306,None
