,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,18.887387491977897,12.797629637799174,51.835005461703076,11.247680292956158,1.8100193572248565e-05,DE
16,10.989599471449504,6.227352726859477,9.163915392144952,4.485365809233598,0.48549245781834305,None
32,45.623794488868676,7.288676537869207,2.8431998733292616,1.2371533616300783,1.5897910003715863e-08,CEM
64,55.13729014319815,6.639036356528957,0.6978183330659988,0.9989970984098553,8.202237607575526e-10,CEM
128,67.540598597181,5.420372063789389,19.722726427752853,5.0016374481413015,1.767059478304075e-13,CEM
