,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,4.451849820845436,5.354518155025113,10.128161430191366,4.2167908841833235,0.02297468931455219,DE
16,0.4271876859328258,0.1563427330003369,0.8010863060344804,0.4765764015035214,0.04717672427215627,DE
32,0.6825898184278685,0.09142263956964305,0.001267226177118197,0.0030406047292387654,3.3027159055572445e-09,CEM
64,1.764105650722478,0.2809946765087688,5.353935739194071e-10,4.5859441995828043e-10,1.5410579369893183e-08,CEM
128,10.757592031292807,2.1359388594316733,0.07516060623661801,0.05177326730529319,1.114257538011574e-07,CEM
