,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,0.6964713399653029,0.455947519251189,0.848476820059551,0.4466244677547352,0.48409753407790446,None
16,0.09949590904306263,0.29848771601674257,0.2272747539338873,0.4527401622453071,0.49006881925586043,None
32,0.0009000661300376578,0.002081421684220451,0.0147993777625814,0.03475782954541891,0.2614779796031286,None
64,0.3463661108493863,0.2903182249996074,0.12368515091163275,0.12794230168341036,0.056298618578817856,None
128,1.0179406060265292,0.5142854423282297,0.6296099829663472,0.4049571845950731,0.09293517054479573,None
