,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,2.131652044359195e-22,6.394956128741521e-22,0.0007283564057494348,0.0017231028810298144,0.23658213570956774,None
16,1.0125276167618707e-22,1.7640346216661645e-22,2.7858854095688872e-27,3.345685424864438e-27,0.11918912128695112,None
32,2.0939418905371505e-12,3.262457511866092e-12,1.47853198763485e-13,1.1220758324367936e-13,0.10725099687169495,None
64,5.625988694365796e-07,6.483075641656337e-07,1.8874011515890891e-07,1.658791992946984e-07,0.12415068796070658,None
128,0.0004872248940350924,0.00030029607163461623,0.0001784024075648114,0.00020015477574415627,0.020911009641368772,CEM
