,DE_mean,DE_std,CEM_mean,CEM_std,p_value,better
8,0.7445781886700958,0.8821290092004193,1.2008546709129146,1.9859611906921126,0.5401718309032815,None
16,6.956917291247602e-16,1.0230418670113253e-15,0.1809187734554536,0.2098329762373743,0.029376312575670128,DE
32,2.217842580345445e-05,4.202757941429965e-05,0.042215985701188244,0.04411049547422382,0.018487426275271616,DE
64,0.04604109707399147,0.08153935798462433,0.027621430477480575,0.024510650180880774,0.5301257112661635,None
128,0.05659948243148697,0.056217540649833225,0.07471114943132565,0.03836626031930904,0.43645450607808234,None
